epoch,train_loss,AP@0.3,AP@0.5,F1,precision,recall,best_conf,all/AP@0.3,all/AP@0.5,all/F1,all/precision,all/recall,all/best_conf,val_loss
1,6.483851682081681,0.3909598282027998,0.21923206901035575,0.3093363329583802,0.4217791411042945,0.24422735346358793,0.5,0.38687751039765916,0.21162455998482893,0.29544449358690844,0.39132981839484476,0.23730017761989342,0.49,8.610202780852081
2,6.254972160949657,0.3937294750730936,0.2437386875723444,0.3087606837606838,0.3873994638069705,0.2566607460035524,0.5,0.38820256205944875,0.23828048853907702,0.30447954988097814,0.38953488372093026,0.24991119005328596,0.5,8.579511654292437
3,6.1493254278487,0.3842253212672713,0.21849490693127588,0.2985856469355684,0.36398467432950193,0.2531083481349911,0.54,0.37954422296855406,0.21226132518244306,0.2892282463872092,0.34189483886600436,0.2506216696269982,0.53,8.73615797191647
4,6.064688457787203,0.4128596317079013,0.24108038799593398,0.31880977683315626,0.3968253968253968,0.2664298401420959,0.52,0.4064386425984118,0.23268207498358834,0.30560307955517535,0.38393336915636755,0.2538188277087034,0.52,8.676012691876567
5,5.995031340699572,0.39992402507976654,0.252081226693216,0.3143143143143143,0.36009174311926606,0.27886323268206037,0.49,0.39451600230730277,0.24610351732849456,0.3092,0.3537757437070938,0.2746003552397869,0.49,8.739121656045846
6,5.94371648951836,0.3905798591991866,0.20764109833973307,0.2936596218020022,0.39285714285714285,0.2344582593250444,0.54,0.3816347945463995,0.19848917381681982,0.2849486377847253,0.38364401683704147,0.2266429840142096,0.54,8.775017366341665
7,5.911216991331003,0.40609611961467545,0.23452736418500444,0.31614349775784756,0.42857142857142855,0.25044404973357015,0.52,0.3964172165572537,0.22851401968877244,0.30721472918004716,0.38658405172413796,0.25488454706927177,0.5,8.742119317359112
8,5.858710365873101,0.38814862573992914,0.2232557596627354,0.29557843731072075,0.46476190476190476,0.216696269982238,0.56,0.3809621840730277,0.21648557227563728,0.28790741615493626,0.4295278365045807,0.21651865008880994,0.54,8.693771872960085
9,5.798387288741327,0.40164208979546995,0.2231813557154567,0.3082666666666667,0.38584779706275035,0.2566607460035524,0.52,0.3970879779480834,0.21718559113008096,0.298751614291864,0.3790278536318951,0.24653641207815274,0.52,8.856070342638814
10,5.75652219588759,0.42021332148112395,0.23406388036537146,0.3174273858921162,0.38154613466334164,0.27175843694493784,0.45,0.413308833278362,0.22452106325815502,0.3039297658862877,0.3692229558151346,0.25825932504440496,0.45,8.611288660806967
11,5.741380745320598,0.3592574452652671,0.18174760251354175,0.2810526315789474,0.3449612403100775,0.23712255772646537,0.48,0.35555237504698756,0.17412367339242527,0.27299966707357676,0.36379769299023956,0.21847246891651864,0.5,8.853310618840212
12,5.699019926011916,0.3777542256258663,0.2231020753081275,0.3050666666666667,0.3818424566088118,0.2539964476021314,0.5,0.37683473225594116,0.21743597602982595,0.29793418457386067,0.3584811391456408,0.25488454706927177,0.48,8.933720125374219
13,5.662171037860518,0.3891410124262261,0.24600588058348138,0.3151378728193585,0.43010752688172044,0.24866785079928952,0.5700000000000001,0.38696535068236376,0.24224982605741283,0.3080775092532114,0.39791901012373454,0.25133214920071045,0.55,9.04902515851014
14,5.641758982368036,0.37778951141751305,0.2216738310856147,0.30869565217391304,0.39775910364145656,0.2522202486678508,0.51,0.3722395959593217,0.21586643691683527,0.2989247311827957,0.3787465940054496,0.2468916518650089,0.5,8.985314573802
15,5.6080798422488884,0.3605473337234086,0.212833648740716,0.30980392156862746,0.34573304157549234,0.28063943161634103,0.47000000000000003,0.3540656296614322,0.2052102371339608,0.29774149082812,0.36937647987371747,0.24937833037300178,0.52,9.026233823586862
16,5.569400840792705,0.38562836864925365,0.230264216877013,0.2995319812792512,0.3613550815558344,0.2557726465364121,0.49,0.38315568475682094,0.224177499627648,0.29552549427679503,0.35678391959798994,0.2522202486678508,0.49,9.005791610014354
17,5.562356784584534,0.3729333545409596,0.21504532315556146,0.30293501048218024,0.3695652173913043,0.2566607460035524,0.51,0.37004859885088487,0.21079016618812577,0.29823635019537437,0.3678041156551185,0.2507992895204263,0.51,9.09161597617129
18,5.5269070354634104,0.3809833156162633,0.22082481171960228,0.3100948131622978,0.41679160419790107,0.2468916518650089,0.53,0.3772764972402793,0.21306421316424956,0.3045839669780578,0.3920581655480984,0.24902309058614563,0.51,8.966139957414452
19,5.518041859059262,0.341929889733259,0.19497782188360424,0.29292929292929293,0.3395784543325527,0.25754884547069273,0.49,0.3388318811773471,0.18753828617421,0.28848654596378914,0.3302038012365468,0.2561278863232682,0.48,9.07444822027328
20,5.468473100853213,0.36864371276741587,0.2202339430273392,0.31226364127498646,0.3986206896551724,0.2566607460035524,0.53,0.3640112507564029,0.21210940106702894,0.3035581518852895,0.3775429326287979,0.2538188277087034,0.51,9.096922595450218
21,5.445265834670762,0.3655715404308587,0.22129179065266943,0.3032873806998939,0.3763157894736842,0.2539964476021314,0.56,0.3624005474866001,0.21539238849069853,0.2954592151222519,0.3503898635477583,0.25541740674955593,0.54,9.097118431794728
22,5.431701951297121,0.36071181025266913,0.20748241979395052,0.31520081342145395,0.3686087990487515,0.2753108348134991,0.48,0.357749725086001,0.2053068208851288,0.3068250452989732,0.354089219330855,0.27069271758436947,0.47000000000000003,9.159525888185975
23,5.41965366886244,0.3788743063958723,0.21078733323003548,0.288735632183908,0.29933269780743565,0.27886323268206037,0.44,0.37159301986154114,0.20258650759729038,0.2778544484313184,0.2882229433097919,0.2682060390763766,0.44,9.172104170981873
24,5.395509493655182,0.3738038117103559,0.2153590119727302,0.30163196398424313,0.4116743471582181,0.23801065719360567,0.52,0.3693001356249984,0.21319181148729083,0.2980434782608695,0.3840336134453782,0.24351687388987567,0.5,9.012344994443529
25,5.382918403476065,0.3725776679935816,0.19673294874129735,0.2737768004398021,0.3593073593073593,0.2211367673179396,0.55,0.3662928549779729,0.19147248028135105,0.2693579655604972,0.3762344695762982,0.20976909413854353,0.5700000000000001,9.250888553916985
