epoch,train_loss,AP@0.3,AP@0.5,F1,precision,recall,best_conf,all/AP@0.3,all/AP@0.5,all/F1,all/precision,all/recall,all/best_conf,val_loss
1,7.089263581095212,0.31109086801168695,0.16670362330444308,0.2355072463768116,0.29635258358662614,0.19539078156312625,0.23,0.30835445234781783,0.16547589330189696,0.2374652283058552,0.3039777661976724,0.194834112669784,0.23,8.387458032608032
2,6.884711085846195,0.3370948171093283,0.15818678658188684,0.2479141835518474,0.3058823529411765,0.20841683366733466,0.25,0.3330690508104513,0.15476038829711067,0.23984942188760422,0.3026806922293858,0.19861946114451123,0.25,8.414232515335083
3,6.754060916538744,0.34158495131127853,0.19500470581241744,0.2880921895006402,0.39893617021276595,0.22545090180360722,0.28,0.3388453279795807,0.18962859472147953,0.2819676881837282,0.4036506948765816,0.21665553328879983,0.28,8.525703598022462
4,6.682165956034926,0.3275032614856541,0.16196757835723855,0.24476439790575916,0.35283018867924526,0.187374749498998,0.28,0.3221932074635326,0.1574763396288645,0.241114786402984,0.3277214463363306,0.19071476285905142,0.27,8.421864953994751
5,6.640133162962027,0.3419964971170782,0.18179522408544677,0.2662929222144359,0.4428904428904429,0.1903807615230461,0.31,0.34198327491741554,0.1798065704767345,0.26546731022378234,0.3868286445012788,0.20207080828323312,0.27,8.553959308624268
6,6.560701964929952,0.34996282256248507,0.17564704961010125,0.2700729927007299,0.34365325077399383,0.22244488977955912,0.28,0.3447696514168926,0.17750845463647213,0.2675704132666491,0.32716446733183135,0.2263415720329548,0.27,8.557760187149048
7,6.514742694366658,0.36759693833664175,0.18781953627565848,0.2960568842921784,0.41712204007285975,0.22945891783567135,0.3,0.36049728927264096,0.1824061591453534,0.2822373726266403,0.4131787937325606,0.21431752393676243,0.31,8.565633661270141
8,6.4776642533769415,0.35581320039250464,0.20440127193247493,0.29210526315789476,0.42528735632183906,0.22244488977955912,0.36,0.34844587635480273,0.19833558579272675,0.28222130128470785,0.37172489082969434,0.22745490981963928,0.31,8.761696695327759
9,6.434133548516709,0.33695418369339214,0.18857359589665057,0.2648171500630517,0.35714285714285715,0.21042084168336672,0.33,0.3303704191882873,0.18780663405582296,0.26261484098939936,0.3595201238390093,0.2068581607659764,0.33,8.658647945404052
10,6.388448803073617,0.3602367940361569,0.2033349016189652,0.29738353541799617,0.4094903339191564,0.23346693386773548,0.38,0.35533173769575616,0.20015945737798485,0.2815245111929725,0.38702765874561745,0.22122021821420618,0.37,8.848550661087035
11,6.337085505193196,0.36460227956479085,0.17230755396899525,0.27155465037338766,0.42105263157894735,0.20040080160320642,0.39,0.3584176167496204,0.17084984355007007,0.2627727147196907,0.34587422755361685,0.21186818080605654,0.3,8.625300720214844
12,6.315239167465027,0.3744819933300738,0.18004551859660775,0.2631921824104234,0.3761638733705773,0.20240480961923848,0.36,0.36528434915131597,0.17865442470619744,0.2520370114625052,0.33181818181818185,0.2031841460699176,0.32,8.60422576904297
13,6.283088309596577,0.36532105614641874,0.18969699234924903,0.2679425837320574,0.421505376344086,0.1963927855711423,0.49,0.36247664135665936,0.18782297773954634,0.2673437276498355,0.3738,0.20808283233132932,0.38,8.69141746711731
14,6.2547314147919275,0.336978462136994,0.13554259984244393,0.2284263959390863,0.31141868512110726,0.18036072144288579,0.33,0.3313870629390897,0.13160566198643456,0.22079555231980938,0.2722376366900604,0.18570474281897129,0.29,8.79240320968628
