epoch,train_loss,AP@0.3,AP@0.5,F1,precision,recall,best_conf,all/AP@0.3,all/AP@0.5,all/F1,all/precision,all/recall,all/best_conf,val_loss,ema/AP@0.3,ema/AP@0.5,ema/F1,ema/precision,ema/recall,ema/best_conf,ema/all/AP@0.3,ema/all/AP@0.5,ema/all/F1,ema/all/precision,ema/all/recall,ema/all/best_conf,ema/val_loss,sel,sel_smoothed
1,6.383340940421913,0.37097021207763653,0.21686713276755223,0.30809399477806787,0.37389100126742714,0.2619893428063943,0.4,0.368519939956483,0.21436821529456818,0.3069689687597952,0.37274803349403707,0.2609236234458259,0.4,8.592047682890655,0.37086943321677246,0.21554206100300105,0.3075335397316821,0.3669950738916256,0.26465364120781526,0.39,0.36853892401440147,0.21330700307062853,0.3059624510006189,0.36491141732283466,0.2634103019538188,0.39,8.573324974547042,0.311604042855623,0.311604042855623
2,6.385445567065205,0.3728169471745622,0.21809588813652672,0.3091738469336037,0.3600944510035419,0.27087033747779754,0.38,0.3699574873521061,0.21555837849203568,0.30783260715371363,0.3583392309506959,0.2698046181172291,0.38,8.582783699035645,0.3711596594671652,0.21672054857465542,0.3079222720478326,0.3507377979568672,0.2744227353463588,0.37,0.36867442044320176,0.2142314364600548,0.30690376569037653,0.3732824427480916,0.2605683836589698,0.4,8.585873984275981,0.31218044871554573,0.3118922457855844
3,6.387161680352134,0.3735431041993053,0.2183447525426317,0.31083202511773944,0.378343949044586,0.26376554174067496,0.4,0.371101998484996,0.21602415324199245,0.3095612105979684,0.377137024751212,0.2625222024866785,0.4,8.568441649700732,0.37276395461195744,0.2170689080188706,0.3082549634273772,0.3743654822335025,0.2619893428063943,0.4,0.36954332436388493,0.21481393445022245,0.30711297071129706,0.37353689567430026,0.26074600355239785,0.4,8.587699934100428,0.3131536423971153,0.31231271132276134
4,6.4038559109993205,0.37263999893522964,0.217915923063509,0.30890052356020936,0.3762755102040816,0.2619893428063943,0.4,0.36973930641799674,0.21562083587792003,0.30770842061164644,0.37493619193466055,0.2609236234458259,0.4,8.576856031485484,0.3729431725464817,0.2180705305401058,0.30906233630172864,0.3767560664112388,0.2619893428063943,0.4,0.3703212555632939,0.21568491492888814,0.30774065151356444,0.375031912177687,0.2609236234458259,0.4,8.580605960061364,0.3137052126956183,0.31301310126942644
5,6.39289853138476,0.37388822138893907,0.21974728548905087,0.3119548486403284,0.36938031591737547,0.2699822380106572,0.39,0.37134713847430395,0.21713764047764056,0.30958482829318296,0.3660606060606061,0.2682060390763766,0.39,8.60202986297878,0.37307411733902074,0.2181771726800223,0.30890052356020936,0.3762755102040816,0.2619893428063943,0.4,0.37050809059243267,0.21599358661662166,0.3078856424756519,0.3750956876754274,0.261101243339254,0.4,8.583113134330047,0.3137703151855589,0.31354305675943084
6,6.3876654009534155,0.3729604462082657,0.21870988669521374,0.31006160164271046,0.36739659367396593,0.2682060390763766,0.39,0.37071959721495806,0.21647388171123927,0.3090415535602422,0.37487335359675783,0.26287744227353466,0.4,8.586971276195337,0.37334323498902117,0.2188632218448489,0.310740354535975,0.37626262626262624,0.26465364120781526,0.4,0.37103512740607514,0.21666459639177876,0.3095710259889365,0.375348013161225,0.2634103019538188,0.4,8.586825619352625,0.31447865495516025,0.3139847276121125
7,6.384783779325983,0.37342755006835804,0.21897348178442197,0.31061806656101426,0.3833116036505867,0.261101243339254,0.41000000000000003,0.3708965121396409,0.21676150916221487,0.30852188623387605,0.38113897596656215,0.25914742451154527,0.41000000000000003,8.587026871687977,0.3720587967999156,0.21833083586930607,0.30901722391084097,0.3596698113207547,0.27087033747779754,0.38,0.37004771879055876,0.21617643077654516,0.3084004602991945,0.3751590735556121,0.2618117229129662,0.4,8.581152129680552,0.31333209394291783,0.3138603546945457
8,6.391557114105887,0.3731540315348967,0.2183068291085852,0.30978545264259555,0.37707006369426754,0.26287744227353466,0.4,0.37090860524503694,0.21640560013617868,0.3088358458961474,0.3760836308006119,0.2619893428063943,0.4,8.582397137973325,0.3732549450206728,0.2187458452638792,0.31018753167764823,0.3612750885478158,0.27175843694493784,0.38,0.3710292667952388,0.21668258392085094,0.308965228320067,0.37646758550280757,0.2619893428063943,0.4,8.580104670626051,0.31428873242502975,0.31403316044103596
9,6.397123325488895,0.3736375879646121,0.21843527866634815,0.311340206185567,0.371007371007371,0.2682060390763766,0.39,0.3715171848396232,0.2164874166709183,0.30995924339011394,0.3764914953033765,0.2634103019538188,0.4,8.580051926010889,0.3721431135707791,0.21832271611257997,0.31050705697856773,0.37738246505717915,0.26376554174067496,0.4,0.37054354472418566,0.21640312111880142,0.3092848180677541,0.37595322826639554,0.2626998223801066,0.4,8.582515275224726,0.31366978301487713,0.31376353646094157
10,6.409740257975364,0.3733399380135664,0.21843301254434755,0.31083202511773944,0.378343949044586,0.26376554174067496,0.4,0.3712170161414566,0.21664370004360406,0.30972062362666103,0.37687802393684744,0.26287744227353466,0.4,8.579513116931238,0.37186735381086566,0.2175708921501445,0.30946157867224255,0.3761118170266836,0.26287744227353466,0.4,0.36982089794175915,0.21598805825149378,0.30893118594436314,0.3756358087487284,0.26234458259325044,0.4,8.582373810152635,0.3130972602849247,0.31368525857494384
11,6.383579696447846,0.373545830078495,0.21897793744214894,0.3115100316789862,0.3841145833333333,0.2619893428063943,0.41000000000000003,0.3713166417716843,0.21685742544876938,0.3103411851695363,0.38285118582225697,0.2609236234458259,0.41000000000000003,8.596417900518322,0.37312403047922876,0.2182595451460888,0.31066945606694557,0.37786259541984735,0.26376554174067496,0.4,0.37069100583202297,0.2164069183903049,0.30955866973436524,0.37639877924720244,0.26287744227353466,0.4,8.580928888726742,0.31417376999683017,0.313646937765544
12,6.400687704897033,0.3724215999755592,0.2175432621788414,0.3101330603889458,0.36594202898550726,0.2690941385435169,0.39,0.3702209558996017,0.2154135021304068,0.3083746963776534,0.3803073717113832,0.25932504440497334,0.41000000000000003,8.593162120656764,0.37232598791439114,0.2180288903055448,0.3110647181628392,0.37721518987341773,0.26465364120781526,0.4,0.3701319926717305,0.215879714750048,0.30963566134252013,0.3755381109141555,0.2634103019538188,0.4,8.577629322701313,0.3137846046814268,0.31368521165439384
13,6.39721089378371,0.3736495477271327,0.21844921287372132,0.3113897596656217,0.37817258883248733,0.26465364120781526,0.4,0.37117007169069094,0.21614478834263798,0.3096208085239736,0.3758559472482881,0.26323268206039074,0.4,8.574563898938768,0.37326474269434545,0.21828018352944883,0.31071049840933196,0.38552631578947366,0.2602131438721137,0.41000000000000003,0.37070584049170185,0.21611214004202764,0.30963497453310695,0.3845545598313126,0.25914742451154527,0.41000000000000003,8.582821710735349,0.3142585260878738,0.3140723002553769
14,6.407200314501961,0.37009708102791483,0.21546605509941696,0.3095944609297725,0.34933035714285715,0.27797513321492007,0.37,0.3678263958286955,0.21342861925474027,0.30862000790826416,0.3479714667855551,0.27726465364120784,0.37,8.572473383964375,0.373250015307717,0.21829624463893624,0.3115364167995747,0.3880794701986755,0.2602131438721137,0.41000000000000003,0.3709334688270736,0.216004840111967,0.3100956429330499,0.385978835978836,0.25914742451154527,0.41000000000000003,8.58259708999742,0.3144211644054543,0.31415476505825163
