epoch,train_loss,AP@0.3,AP@0.5,F1,precision,recall,best_conf,all/AP@0.3,all/AP@0.5,all/F1,all/precision,all/recall,all/best_conf,val_loss
1,7.1202235500372595,0.32459782457625536,0.1861900035357922,0.26574907358390687,0.3289646133682831,0.22291296625222023,0.22,0.32042370149084415,0.18197364680865932,0.2618205210678675,0.33026778469028945,0.21687388987566608,0.22,8.580836492227323
2,6.954775819623594,0.3293996426250812,0.19325923294682043,0.2854006586169045,0.3735632183908046,0.23090586145648312,0.24,0.32224336265306414,0.18441126264593555,0.27346637102734667,0.3371517833897423,0.23001776198934282,0.23,8.48830785480797
3,6.832779176724923,0.33842790281848517,0.2199823750688918,0.30970556161395857,0.4011299435028249,0.2522202486678508,0.24,0.33234924793922993,0.21241906820219458,0.29677565849227977,0.4112649465072373,0.23214920071047956,0.25,8.493540358036123
4,6.789855488411476,0.34309264036924214,0.18305872530431447,0.27634660421545665,0.4054982817869416,0.20959147424511546,0.32,0.3352245193558131,0.17458718280588786,0.2657872236472456,0.4254986312084474,0.19325044404973357,0.35000000000000003,8.62487499764625
5,6.729634869488931,0.34008239208930446,0.20423986030828062,0.2926253687315635,0.4358523725834798,0.2202486678507993,0.3,0.332937979364195,0.19586411835909773,0.27966706302021405,0.42302158273381296,0.2088809946714032,0.3,8.547545307916952
6,6.686517686115295,0.35101917834385665,0.17871641958239445,0.26239799121155055,0.4475374732334047,0.18561278863232683,0.35000000000000003,0.34557387617476765,0.17156310199100291,0.2577123872804936,0.38813438170121517,0.19289520426287743,0.29,8.72887610374613
7,6.635552429718561,0.329945479148675,0.14697988952424393,0.2359679266895762,0.33225806451612905,0.18294849023090587,0.32,0.3268503456718729,0.14287329252361206,0.23092021706500404,0.32992411745298583,0.17761989342806395,0.32,8.622837786978863
8,6.608349169302622,0.3584269092993816,0.19433813808260342,0.2907801418439716,0.43462897526501765,0.21847246891651864,0.33,0.35053536605061164,0.18602950509334915,0.28128355004175115,0.4282600799128224,0.20941385435168738,0.33,8.62447648352765
9,6.56943955964562,0.3479427582211852,0.16304680040159258,0.26681246582832147,0.34708392603129445,0.216696269982238,0.28,0.3424762306235255,0.15978410169535742,0.25765249944946045,0.3389339513325608,0.20781527531083482,0.28,8.82404253668819
10,6.526439694484578,0.3380310963405606,0.18282390456928366,0.27567270730367927,0.36115107913669064,0.22291296625222023,0.29,0.3319720450568394,0.17238892879392126,0.26535327739267905,0.42074816814500576,0.19378330373001776,0.37,8.815665782766139
11,6.493695786497491,0.33525937926467114,0.16823616323878451,0.26495726495726496,0.423828125,0.19271758436944939,0.35000000000000003,0.3317475939067568,0.15957928091026047,0.26004784688995214,0.39816849816849814,0.1930728241563055,0.32,8.6351345481602
12,6.460844389318892,0.35463303690803166,0.20472297332727754,0.29966329966329963,0.4070121951219512,0.23712255772646537,0.3,0.34854007905661716,0.19638246716080238,0.2891974263460887,0.3967172499225767,0.2275310834813499,0.3,8.665395063711397
13,6.448179700287395,0.353059810960491,0.15654374581256947,0.23368920521945433,0.3517857142857143,0.17495559502664298,0.3,0.3419064172941023,0.1540560080993655,0.23119310014374703,0.3550404709345107,0.1714031971580817,0.3,8.479859670003256
14,6.380702458081705,0.3293842679492739,0.18169694750947568,0.2733893557422969,0.37025796661608495,0.216696269982238,0.33,0.3236503971361375,0.17405273992104903,0.262369496141625,0.3632935260842238,0.2053285968028419,0.33,8.706647747797323
15,6.35453782371387,0.35340142122396057,0.18667060711573083,0.27455919395465994,0.47186147186147187,0.1936056838365897,0.39,0.3461505556045038,0.1763580258951279,0.2612947804826194,0.32539052157797194,0.2182948490230906,0.28,8.57910116344479
16,6.343234627085599,0.3077934506949205,0.16728725760474863,0.26044226044226043,0.42231075697211157,0.1882770870337478,0.43,0.3000607212056962,0.16346288519047833,0.25864519185220275,0.3880597014925373,0.19396092362344583,0.37,8.844858176319311
