epoch,train_loss,AP@0.3,AP@0.5,F1,precision,recall,best_conf,all/AP@0.3,all/AP@0.5,all/F1,all/precision,all/recall,all/best_conf,val_loss
1,6.317655029223483,0.3509116106866212,0.2058855113352543,0.2946934569809376,0.350920245398773,0.2539964476021314,0.44,0.3465926950098438,0.19750118738856004,0.2862161603637115,0.34214426877470355,0.24600355239786856,0.44,8.486858511647434
2,6.0870281117092695,0.38939235955424084,0.23569780539905433,0.30615465544450293,0.37548387096774194,0.25843694493783304,0.5,0.38753924713374116,0.23209798983239222,0.2978408128704487,0.3685175484546883,0.24991119005328596,0.5,8.627676257004975
3,5.948230108271223,0.3724371926110941,0.24466429917083146,0.31326584976025573,0.3914780292942743,0.261101243339254,0.5,0.37025166085824823,0.24187467114480066,0.30358097274184925,0.3812080536912752,0.2522202486678508,0.5,8.68586376372804
4,5.845742141529175,0.40948704078174597,0.24191222403729143,0.3316858868753432,0.43453237410071943,0.2682060390763766,0.5700000000000001,0.40407588242675024,0.23853231754534854,0.3269718698290127,0.4314410480349345,0.26323268206039074,0.5700000000000001,8.895447736090802
5,5.766516679414017,0.3790811354269561,0.23730357496895155,0.3183540877097997,0.4077669902912621,0.261101243339254,0.54,0.3717219813677251,0.23055206561702163,0.3090553209024416,0.36791758646063283,0.2664298401420959,0.52,8.834533748897256
6,5.6945444349476855,0.37869666177035205,0.222806701896683,0.3070316693505099,0.3880597014925373,0.2539964476021314,0.5,0.3721154502143056,0.21825059497550825,0.3034750701489316,0.3866886688668867,0.2497335701598579,0.5,8.836072195506265
7,5.63372016058204,0.39897321445458517,0.2307727920544958,0.31540847983453985,0.3774752475247525,0.27087033747779754,0.5,0.3935885462776063,0.22578845328915526,0.30645833333333333,0.37052896725440804,0.26127886323268207,0.5,8.77508597171053
8,5.570008662936698,0.3757740897596666,0.24029603040216743,0.32146829810901,0.43005952380952384,0.2566607460035524,0.53,0.3697643973179622,0.2292087682355154,0.31373866308364123,0.4244168433807937,0.2488454706927176,0.53,8.748409704113683
9,5.53222899928443,0.3794058337277476,0.21166786905215473,0.30531201650335227,0.3640836408364084,0.26287744227353466,0.51,0.3746816125220013,0.20728404890272717,0.30116868342124314,0.36048526863084923,0.2586145648312611,0.51,8.873285110960616
10,5.486734114702381,0.4013353064624233,0.19850822223998676,0.3008174386920981,0.38928067700987307,0.24511545293072823,0.5,0.3947874150676403,0.19658453102738846,0.2970556161395856,0.3847457627118644,0.24191829484902308,0.5,8.800470526336778
11,5.432391378293793,0.38483974428149836,0.20470863304781436,0.30000000000000004,0.4250814332247557,0.23179396092362345,0.5700000000000001,0.37398154872969125,0.19456795039088015,0.286244969559385,0.34154149224328983,0.2463587921847247,0.51,8.925019311566725
12,5.395693926986218,0.3919207418986013,0.2558688876019236,0.32292787944025836,0.4098360655737705,0.2664298401420959,0.5,0.3863148653987657,0.24410619807804806,0.3148148148148148,0.3861641713990707,0.26571936056838363,0.49,8.740710950066857
13,5.365911504023595,0.36242810817538984,0.22081961654315282,0.31342521694742215,0.368547418967587,0.27264653641207814,0.5,0.3564190901504445,0.2137420668521903,0.30827685356336004,0.36538461538461536,0.266607460035524,0.5,9.111900838554329
14,5.317039840087774,0.3998382872521601,0.25630261546721894,0.32497492477432294,0.37327188940092165,0.2877442273534636,0.45,0.39579597492955737,0.24881613738635114,0.32249208025343185,0.39765625,0.27122557726465363,0.47000000000000003,8.765221700600698
15,5.290763939111133,0.377982291934818,0.21818134643971787,0.3148887621220764,0.44019138755980863,0.24511545293072823,0.54,0.373635595686308,0.20973471809764635,0.3052828940112496,0.402676752982252,0.2458259325044405,0.52,8.984272441120012
16,5.2558092525284605,0.39078435869329614,0.23523931033286055,0.30946157867224255,0.3761118170266836,0.26287744227353466,0.5,0.3874170262066554,0.23099075184134157,0.3075740944017563,0.4025862068965517,0.2488454706927176,0.52,8.899315839118145
17,5.2291064467402615,0.3779701442366987,0.2334994725563323,0.30813618003462206,0.43986820428336076,0.23712255772646537,0.5700000000000001,0.37600412460057153,0.22484982234240902,0.30024926353954223,0.4145807259073842,0.2353463587921847,0.55,9.026300227388422
18,5.1881189364854166,0.369280571204946,0.21113173250213352,0.30337078651685395,0.41284403669724773,0.23978685612788633,0.58,0.36776619178585407,0.20334827833419272,0.2953605366126328,0.39849170437405734,0.23463587921847248,0.5700000000000001,9.197516209690283
19,5.1644627163551196,0.37161411962378604,0.23443173601691508,0.3212493028443949,0.431784107946027,0.2557726465364121,0.55,0.3756873927202339,0.22686313812676887,0.31733997617242504,0.40660560643907856,0.2602131438721137,0.53,8.993484738870716
20,5.131518689915538,0.3492272543954671,0.21480532590288515,0.29899216125419936,0.40454545454545454,0.23712255772646537,0.58,0.34788549149466974,0.2076585896123193,0.29410521867737166,0.36287799791449427,0.247246891651865,0.54,9.210398613138402
