epoch,train_loss,AP@0.3,AP@0.5,F1,precision,recall,best_conf,all/AP@0.3,all/AP@0.5,all/F1,all/precision,all/recall,all/best_conf,val_loss,ema/AP@0.3,ema/AP@0.5,ema/F1,ema/precision,ema/recall,ema/best_conf,ema/all/AP@0.3,ema/all/AP@0.5,ema/all/F1,ema/all/precision,ema/all/recall,ema/all/best_conf,ema/val_loss,sel,sel_smoothed
2,6.19193681526689,0.40008883127226386,0.22873704104103126,0.30931088900578646,0.3793548387096774,0.261101243339254,0.47000000000000003,0.395825439171561,0.2240656551537047,0.3046371606633569,0.3758144383633047,0.2561278863232682,0.47000000000000003,8.601040787730657,0.3985178272318306,0.24473821285619157,0.31810490693739424,0.43585780525502316,0.25044404973357015,0.51,0.3956066793318308,0.24040576280692647,0.31257344300822565,0.3921200750469043,0.25985790408525755,0.49,8.558318494904972,0.3363013588602516,0.3363013588602516
4,6.022370063779119,0.3914607793864569,0.24381621644996573,0.32360742705570295,0.4018445322793149,0.27087033747779754,0.5,0.38460767555050135,0.23864413845006924,0.31413612565445026,0.39420756234915527,0.261101243339254,0.5,8.627472956975302,0.4014651416506769,0.2445303297597563,0.3184913567312729,0.388250319284802,0.2699822380106572,0.51,0.397110610671945,0.2388935180901937,0.3097826086956522,0.39915966386554624,0.2531083481349911,0.52,8.595827552443701,0.33778994109952,0.3370456499798858
6,5.91723802944621,0.3741509439694816,0.24507886495209558,0.32124874118831825,0.37093023255813956,0.283303730017762,0.5,0.3685853909526565,0.23424779125482956,0.3076611268747466,0.35818782444549313,0.26962699822380104,0.5,8.718615903922007,0.39358828967889326,0.2402669431564591,0.31782540512284374,0.386277001270648,0.2699822380106572,0.51,0.38799694006839547,0.23432688514264463,0.30569242058916035,0.37298541826554105,0.25896980461811725,0.51,8.640325081263873,0.3324393088109531,0.33551020292357486
8,5.839820548636855,0.3956186600776232,0.2536194424787743,0.3244374672946102,0.39490445859872614,0.2753108348134991,0.51,0.390772579944734,0.24559987263822894,0.3141425503630228,0.37020968908170643,0.2728241563055062,0.5,8.645472196822471,0.3991725290928625,0.24840004820430753,0.32360471070148483,0.38210399032648124,0.28063943161634103,0.5,0.39270131793211177,0.24266420810129688,0.31560610718311305,0.37297166384112374,0.27353463587921845,0.5,8.642989462994514,0.33882722114802044,0.3363521570194979
10,5.763367606220439,0.38983891098844187,0.24417518543214314,0.32230971128608926,0.3940949935815148,0.27264653641207814,0.52,0.3832224337355895,0.23751622806398337,0.3115124153498871,0.3688046647230321,0.26962699822380104,0.51,8.74419399694348,0.3980217168973207,0.249691079414642,0.32885211995863495,0.3935643564356436,0.2824156305506217,0.5,0.39228339490979036,0.24284370047642723,0.31553850938115474,0.37888971869554394,0.2703374777975133,0.5,8.68685477676121,0.3396886062647799,0.3369850454079178
12,5.700844846926743,0.3801225305147313,0.23607547937752055,0.31967627718765806,0.37132784958871917,0.28063943161634103,0.46,0.37588591418675527,0.23339788300416173,0.3101452218949934,0.3621057623903249,0.27122557726465363,0.46,8.692538848160007,0.39394518515433935,0.24463663664821633,0.3223140495867769,0.3851851851851852,0.27708703374777977,0.5,0.3885720106912399,0.2391752100672732,0.31201409764693694,0.37465770475479215,0.2673179396092362,0.5,8.696547619839931,0.33482639348898996,0.3377807403005968
