epoch,train_loss,AP@0.3,AP@0.5,F1,precision,recall,best_conf,all/AP@0.3,all/AP@0.5,all/F1,all/precision,all/recall,all/best_conf,val_loss
1,6.360871528839965,0.3446893678593077,0.20175358759118517,0.29161747343565525,0.43485915492957744,0.21936056838365897,0.5,0.3412776122831842,0.19765693100412657,0.28423285411265614,0.4222689075630252,0.21420959147424512,0.49,8.641361280535975
2,6.252389564114558,0.37349161209059456,0.21650974883937887,0.3100529100529101,0.38350785340314136,0.2602131438721137,0.4,0.3676652934201141,0.21314320799625752,0.30444817456986994,0.37186058431573554,0.2577264653641208,0.39,8.657189725984074
3,6.173110068108134,0.3283099432227864,0.19883413611228154,0.30464991982896844,0.3825503355704698,0.2531083481349911,0.39,0.3262356881900051,0.19363086871765617,0.29734361610968296,0.3745277927684835,0.24653641207815274,0.39,8.54811005558528
4,6.096609207126795,0.36966377803737166,0.18608423201545018,0.2906458797327394,0.3895522388059702,0.23179396092362345,0.5,0.3643646327293225,0.180532289441956,0.2806784170269372,0.373341197286936,0.22486678507992897,0.49,8.869581667244011
5,6.0606505102410075,0.3948078453290603,0.22916365394145305,0.3324367939752555,0.42155525238744884,0.2744227353463588,0.43,0.38852517186899904,0.22662669103777613,0.3217062408068922,0.39377572016460904,0.2719360568383659,0.41000000000000003,8.42796444723792
6,6.0107974094622465,0.38444653506548965,0.2076888905802773,0.31342465753424653,0.40915593705293274,0.2539964476021314,0.49,0.37681330201029295,0.20205450420556773,0.30497969651634965,0.38277896995708155,0.25346358792184726,0.47000000000000003,8.689532778787274
7,5.9677875138925005,0.38134596510492225,0.22212948450020875,0.332033426183844,0.445440956651719,0.26465364120781526,0.49,0.37613142919152615,0.21572131244665607,0.32375289065080937,0.4259634888438134,0.261101243339254,0.48,8.661904893022902
8,5.917491547834823,0.3710591708294254,0.19303137001197246,0.3034163288940359,0.43594009983361065,0.23268206039076378,0.53,0.3629217087431354,0.1834394525293469,0.29451476793248943,0.3625974025974026,0.24795737122557726,0.45,8.817893011350158
9,5.891300338701397,0.3501522996615718,0.19005376479286795,0.3030949839914621,0.37967914438502676,0.2522202486678508,0.34,0.3434378806673963,0.1862581936893993,0.29242985706723135,0.3619921363040629,0.2452930728241563,0.33,8.66980554533343
10,5.847050701152943,0.37914424963807375,0.2223920765843919,0.30785450711649975,0.3787289234760052,0.25932504440497334,0.4,0.36904363161241116,0.21669674070102052,0.29974215728405673,0.3792822185970636,0.2477797513321492,0.41000000000000003,8.634980974467934
11,5.81584679639483,0.3389101786719138,0.22130022118349754,0.3099352051835853,0.3953168044077135,0.25488454706927177,0.48,0.33288145195335134,0.21427782711050553,0.30131490973924674,0.4043062200956938,0.24014209591474245,0.5,8.722450936094244
12,5.792040972701679,0.3729949807567,0.2237242532020563,0.30949839914621136,0.3877005347593583,0.25754884547069273,0.51,0.3660320517122282,0.21595519164424093,0.2991277075369989,0.3336977913842117,0.27104795737122556,0.44,8.832486648086116
13,5.74034475458104,0.35540711286460513,0.1850480101102387,0.29108485499462944,0.36820652173913043,0.24067495559502664,0.5,0.35204185711611824,0.1810702706167654,0.28729752770673483,0.3590836441129462,0.2394316163410302,0.5,8.774995986451493
14,5.731680097471542,0.381776915876783,0.21109599048653244,0.3191606847045831,0.4218978102189781,0.2566607460035524,0.49,0.37699351746322673,0.20363017751658405,0.30828516377649323,0.3879310344827586,0.2557726465364121,0.46,8.785315779084009
15,5.700956943076095,0.3554553067495268,0.1940922336663568,0.3026386645126548,0.3844049247606019,0.24955595026642985,0.5,0.35474068448576707,0.19432122991316197,0.30166004684794784,0.3535449988063977,0.26305506216696267,0.46,8.79845689036322
16,5.674829104851648,0.34622199844904467,0.17804953943295196,0.281283422459893,0.353494623655914,0.23357015985790408,0.5,0.341535347752671,0.17569728236359614,0.2800044908498933,0.3805309734513274,0.22149200710479575,0.53,8.860614374174293
17,5.646509807590462,0.37740053878513774,0.18611845895986392,0.29969727547931385,0.3469626168224299,0.26376554174067496,0.37,0.3659047006093729,0.18124069428014022,0.29373007438894794,0.3656084656084656,0.24547069271758437,0.4,8.576674285509908
18,5.635430926763677,0.3670660715670317,0.2170512524077009,0.3044982698961938,0.4342105263157895,0.2344582593250444,0.53,0.363011807655263,0.2093301739682675,0.29952474788454847,0.43109776443109776,0.2294849023090586,0.53,8.803840865480138
19,5.605779780485222,0.35156934055033773,0.20430037942085613,0.2961373390557939,0.37398373983739835,0.24511545293072823,0.43,0.3470278485755927,0.19204510366538727,0.2863465368444347,0.3796948356807512,0.22984014209591475,0.45,8.659936204869696
20,5.585497324931038,0.39033062144098263,0.2342970026574428,0.33557046979865773,0.45317220543806647,0.2664298401420959,0.56,0.3858355345604402,0.22868720449222046,0.3309948246118459,0.4694942903752039,0.255595026642984,0.58,8.91906110107476
