epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2836.81,2.00218,2.68445,0.00665,0.29929,0.41736,0.28134,0.14745,1.49918,2.37633,0.00799,0.005743,0.005743,0.005743
45,2900.07,1.96706,2.56921,0.00643,0.35048,0.39107,0.28411,0.14684,1.48277,2.29786,0.00803,0.005644,0.005644,0.005644
46,2964.22,1.97045,2.53925,0.00666,0.31291,0.39897,0.29204,0.1535,1.47037,2.27907,0.00779,0.005545,0.005545,0.005545
47,3027.41,2.0172,2.54832,0.00669,0.3259,0.41406,0.28896,0.13142,1.54528,2.31208,0.00811,0.005446,0.005446,0.005446
48,3091.52,1.96435,2.48001,0.00639,0.32038,0.41139,0.29362,0.14765,1.55485,2.39145,0.00836,0.005347,0.005347,0.005347
49,3155.42,1.9638,2.51678,0.00625,0.29288,0.37209,0.23232,0.12386,1.51701,2.49073,0.00805,0.005248,0.005248,0.005248
50,3218.98,1.8734,2.44125,0.00635,0.30892,0.41245,0.26188,0.13323,1.46395,2.38268,0.00767,0.005149,0.005149,0.005149
51,3282.9,1.94046,2.54169,0.00637,0.28701,0.30808,0.21706,0.11679,1.55033,2.84959,0.00833,0.00505,0.00505,0.00505
52,3345.95,1.9243,2.50039,0.00627,0.34252,0.42329,0.26862,0.14636,1.43399,2.43985,0.0076,0.004951,0.004951,0.004951
53,3410.43,1.91005,2.44501,0.00636,0.31741,0.48615,0.31254,0.16898,1.45366,2.20649,0.00769,0.004852,0.004852,0.004852
54,3474.66,1.99523,2.45893,0.00646,0.31704,0.42144,0.29527,0.1491,1.58333,2.33593,0.00836,0.004753,0.004753,0.004753
55,3538.73,1.89564,2.36258,0.00632,0.33769,0.36758,0.28084,0.15257,1.53295,2.3215,0.00823,0.004654,0.004654,0.004654
56,3602.82,1.93561,2.33491,0.00626,0.35578,0.40161,0.28776,0.13595,1.63682,2.32414,0.00868,0.004555,0.004555,0.004555
57,3666.31,1.8374,2.3222,0.00619,0.32057,0.40161,0.30783,0.15437,1.53234,2.27612,0.0081,0.004456,0.004456,0.004456
58,3729.96,1.97289,2.42028,0.00616,0.26118,0.41886,0.26791,0.13623,1.4829,2.55084,0.00786,0.004357,0.004357,0.004357
59,3793.97,1.87187,2.36202,0.00635,0.28969,0.42467,0.28476,0.14349,1.47907,2.48117,0.00781,0.004258,0.004258,0.004258
60,3858.08,1.8524,2.31052,0.00622,0.33403,0.42579,0.31744,0.16176,1.47528,2.15466,0.00788,0.004159,0.004159,0.004159
61,3922.11,1.90596,2.2829,0.00616,0.34106,0.44463,0.32815,0.17045,1.58428,2.18936,0.00842,0.00406,0.00406,0.00406
62,3985.59,1.94799,2.29797,0.00621,0.33972,0.41958,0.30355,0.15716,1.51143,2.25784,0.00798,0.003961,0.003961,0.003961
63,4049.38,1.91751,2.31902,0.00631,0.36323,0.41701,0.32516,0.17051,1.54852,2.25783,0.00839,0.003862,0.003862,0.003862
64,4112.66,1.84369,2.25375,0.00615,0.39237,0.47198,0.34003,0.17852,1.54911,2.37562,0.00822,0.003763,0.003763,0.003763
65,4176.85,1.90164,2.3271,0.00629,0.39717,0.4465,0.36875,0.19647,1.47718,2.09267,0.00783,0.003664,0.003664,0.003664
66,4240.95,1.8735,2.194,0.00609,0.38525,0.45212,0.33535,0.1732,1.64205,2.18307,0.00887,0.003565,0.003565,0.003565
67,4304.84,1.847,2.15852,0.0061,0.43174,0.4863,0.38915,0.20109,1.59801,2.08067,0.00844,0.003466,0.003466,0.003466
68,4368.38,1.88016,2.21441,0.00612,0.39915,0.45204,0.35857,0.18211,1.54537,2.14661,0.00823,0.003367,0.003367,0.003367
69,4432.15,1.89344,2.22321,0.00576,0.3748,0.46188,0.36398,0.18411,1.54329,2.21963,0.00811,0.003268,0.003268,0.003268
70,4495.96,1.79937,2.20565,0.0062,0.41758,0.3952,0.34967,0.17735,1.5642,2.18011,0.00843,0.003169,0.003169,0.003169
71,4559.23,1.89296,2.17521,0.00625,0.43017,0.46967,0.38435,0.19878,1.53705,2.11006,0.00823,0.00307,0.00307,0.00307
72,4623.01,1.85554,2.20555,0.00626,0.44297,0.42833,0.36408,0.18568,1.53509,2.30377,0.00811,0.002971,0.002971,0.002971
73,4686.56,1.80077,2.07337,0.00596,0.34589,0.45472,0.34201,0.17912,1.54002,2.22861,0.00827,0.002872,0.002872,0.002872
74,4750.76,1.79172,2.17144,0.00582,0.35469,0.4698,0.34707,0.18311,1.56222,2.16327,0.00844,0.002773,0.002773,0.002773
75,4815.33,1.8121,2.18341,0.00591,0.37375,0.50262,0.37594,0.19863,1.49347,2.14788,0.00785,0.002674,0.002674,0.002674
76,4879.02,1.86404,2.17356,0.00589,0.42782,0.45212,0.36135,0.18547,1.56672,2.18091,0.00833,0.002575,0.002575,0.002575
77,4943.01,1.87597,2.1528,0.00579,0.43522,0.46423,0.39151,0.20269,1.52043,2.1947,0.00806,0.002476,0.002476,0.002476
78,5007.72,1.82655,2.11832,0.00617,0.4786,0.47716,0.39404,0.20349,1.5811,2.17275,0.00852,0.002377,0.002377,0.002377
79,5073.66,1.89899,2.09819,0.00574,0.50595,0.43632,0.41009,0.20999,1.56561,2.08463,0.00832,0.002278,0.002278,0.002278
80,5137.45,1.81049,2.07247,0.00595,0.43806,0.49071,0.39352,0.19814,1.54516,2.18791,0.00814,0.002179,0.002179,0.002179
81,5200.72,1.75944,2.00078,0.00581,0.47654,0.49865,0.42528,0.20831,1.61306,2.00898,0.00867,0.00208,0.00208,0.00208
82,5264.13,1.87044,2.0711,0.00575,0.43057,0.48369,0.3964,0.19961,1.56261,2.07501,0.00833,0.001981,0.001981,0.001981
83,5327.66,1.75147,2.05574,0.00584,0.4089,0.50867,0.40239,0.20675,1.54407,2.27517,0.00821,0.001882,0.001882,0.001882
84,5391.02,1.83139,2.05967,0.00572,0.44841,0.47348,0.39613,0.19888,1.59838,2.08645,0.00864,0.001783,0.001783,0.001783
85,5454.1,1.74268,1.97572,0.00575,0.56129,0.42845,0.42915,0.21307,1.64367,1.93844,0.00887,0.001684,0.001684,0.001684
86,5517.9,1.81523,2.03264,0.00571,0.41409,0.4693,0.37049,0.19085,1.6437,2.21762,0.00882,0.001585,0.001585,0.001585
87,5581.93,1.79986,1.97627,0.00572,0.45862,0.45116,0.39949,0.20842,1.60979,2.07797,0.00857,0.001486,0.001486,0.001486
88,5645.6,1.76697,1.98177,0.00554,0.42079,0.4744,0.38196,0.19984,1.59135,2.30124,0.00852,0.001387,0.001387,0.001387
89,5709.44,1.79732,1.98256,0.00577,0.45972,0.46296,0.38819,0.20067,1.64995,2.17761,0.00881,0.001288,0.001288,0.001288
90,5735.68,1.78379,1.97896,0.00578,0.45337,0.4741,0.41497,0.22272,1.60038,2.22428,0.00859,0.001189,0.001189,0.001189
91,5760.94,1.45907,1.62971,0.00697,0.42635,0.48922,0.40832,0.2178,1.5683,2.2987,0.00838,0.00109,0.00109,0.00109
92,5793.42,1.44364,1.54092,0.00711,0.43177,0.51639,0.41993,0.22349,1.61721,2.1517,0.00876,0.000991,0.000991,0.000991
93,5858.32,1.50412,1.59134,0.00696,0.42964,0.51101,0.3987,0.20336,1.6184,2.28692,0.00873,0.000892,0.000892,0.000892
94,5923.43,1.43041,1.47675,0.00671,0.41994,0.50964,0.42241,0.21807,1.57922,2.09901,0.00853,0.000793,0.000793,0.000793
95,5988.82,1.49754,1.50379,0.00729,0.40116,0.51381,0.41253,0.21591,1.59485,2.2607,0.00853,0.000694,0.000694,0.000694
96,6053.59,1.47386,1.56528,0.0065,0.42352,0.50766,0.40905,0.21285,1.60845,2.20633,0.00865,0.000595,0.000595,0.000595
97,6118.33,1.44174,1.44681,0.00687,0.4265,0.48752,0.40973,0.21122,1.56347,2.11913,0.00836,0.000496,0.000496,0.000496
98,6183.04,1.42941,1.50443,0.0067,0.45396,0.4695,0.39607,0.20508,1.54787,2.20444,0.00835,0.000397,0.000397,0.000397
99,6248.38,1.47393,1.49425,0.00699,0.42462,0.50199,0.40293,0.21002,1.56596,2.21722,0.00841,0.000298,0.000298,0.000298
100,6313.09,1.41703,1.42263,0.00644,0.43113,0.50284,0.41311,0.21641,1.56096,2.21084,0.00839,0.000199,0.000199,0.000199
