epoch,train_loss,AP@0.3,AP@0.5,F1,precision,recall,best_conf,all/AP@0.3,all/AP@0.5,all/F1,all/precision,all/recall,all/best_conf,val_loss,ema/AP@0.3,ema/AP@0.5,ema/F1,ema/precision,ema/recall,ema/best_conf,ema/all/AP@0.3,ema/all/AP@0.5,ema/all/F1,ema/all/precision,ema/all/recall,ema/all/best_conf,ema/val_loss,sel,sel_smoothed
2,6.17799088948407,0.4192041091908988,0.23810798833811644,0.31030577576443935,0.428125,0.2433392539964476,0.52,0.41494461263096033,0.23352686881320006,0.301710730948678,0.36239103362391034,0.25843694493783304,0.49,8.569783740009822,0.4192041091908988,0.23810798833811644,0.31030577576443935,0.428125,0.2433392539964476,0.52,0.41494461263096033,0.23352686881320006,0.301710730948678,0.36239103362391034,0.25843694493783304,0.49,8.569783740009822,0.3430956062497722,0.3430956062497722
4,6.0122575224409385,0.4060272564237519,0.22117026694640454,0.30928961748633876,0.40198863636363635,0.25133214920071045,0.52,0.3998226667556182,0.21996336628419122,0.29858975718375563,0.3704288345172323,0.250088809946714,0.51,8.620126971116303,0.4060272564237519,0.22117026694640454,0.30928961748633876,0.40198863636363635,0.25133214920071045,0.52,0.3998226667556182,0.21996336628419122,0.29858975718375563,0.3704288345172323,0.250088809946714,0.51,8.620126971116303,0.3312226317930651,0.33715911902141865
6,5.911986583151947,0.38939858438296665,0.2287222303029982,0.30470347648261753,0.35903614457831323,0.26465364120781526,0.5,0.38540522094611607,0.2252856107828681,0.2979679562329035,0.3310898827616153,0.27087033747779754,0.48,8.621903950440968,0.38939858438296665,0.2287222303029982,0.30470347648261753,0.35903614457831323,0.26465364120781526,0.5,0.38540522094611607,0.2252856107828681,0.2979679562329035,0.3310898827616153,0.27087033747779754,0.48,8.621903950440968,0.3242566565789063,0.3328582982072479
8,5.8189964569985,0.40366422780428146,0.23466519786422002,0.31503050471436495,0.4194977843426883,0.2522202486678508,0.52,0.3964480423609852,0.23237051933743216,0.3090526315789474,0.379328165374677,0.26074600355239785,0.5,8.662440470769896,0.40366422780428146,0.23466519786422002,0.31503050471436495,0.4194977843426883,0.2522202486678508,0.52,0.3964480423609852,0.23237051933743216,0.3090526315789474,0.379328165374677,0.26074600355239785,0.5,8.662440470769896,0.33523777420427975,0.3302390208587504
10,5.7694874942675805,0.39903508486925643,0.24818564422881453,0.3146919431279621,0.33739837398373984,0.29484902309058614,0.46,0.389276136425816,0.24307948643017963,0.3091943127962085,0.3315040650406504,0.2896980461811723,0.46,8.643452845566662,0.39903508486925643,0.24818564422881453,0.3146919431279621,0.33739837398373984,0.29484902309058614,0.46,0.389276136425816,0.24307948643017963,0.3091943127962085,0.3315040650406504,0.2896980461811723,0.46,8.643452845566662,0.336911624328865,0.33213535170401703
12,5.696209023653723,0.40139550558107473,0.2341353369235382,0.3066884176182708,0.3955119214586255,0.25044404973357015,0.53,0.39378080885747646,0.22944792777084694,0.30062932012792737,0.35860201821314297,0.2587921847246892,0.51,8.755600506532277,0.40139550558107473,0.2341353369235382,0.3066884176182708,0.3955119214586255,0.25044404973357015,0.53,0.39378080885747646,0.22944792777084694,0.30062932012792737,0.35860201821314297,0.2587921847246892,0.51,8.755600506532277,0.33227603739125294,0.33480847864146596
14,5.648202842240831,0.39348031709660025,0.2535588698119855,0.32440782698249226,0.3860294117647059,0.2797513321492007,0.5,0.38818362059487344,0.25000378072252777,0.3191789092372711,0.3681522748375116,0.2817051509769094,0.49,8.70716716042647,0.39348031709660025,0.2535588698119855,0.32440782698249226,0.3860294117647059,0.2797513321492007,0.5,0.38818362059487344,0.25000378072252777,0.3191789092372711,0.3681522748375116,0.2817051509769094,0.49,8.70716716042647,0.33768938488839423,0.3356256822028374
