epoch,train_loss,AP@0.3,AP@0.5,AP@0.75,AP@0.5:0.95,mAR,F1,precision,recall,best_conf,all/AP@0.3,all/AP@0.5,all/AP@0.75,all/AP@0.5:0.95,all/mAR,all/F1,all/precision,all/recall,all/best_conf,val_loss
1,7.124650306735323,0.2599188954685495,0.11079235062093062,0.0009216699076650764,0.022836832004423043,0.20220440881763527,0.21919363997728566,0.2529488859764089,0.1933867735470942,0.23,0.2494209861448271,0.10392799471467842,0.0007877216901156306,0.021555596357900556,0.20130260521042084,0.21335689938139124,0.24635568513119532,0.18815408594967714,0.23,8.753375934455581
2,6.9803589943957265,0.24843003353930931,0.1135278510205226,0.001577265313548046,0.026569382409451208,0.2390781563126252,0.21808510638297873,0.3241106719367589,0.16432865731462926,0.29,0.24014540327905243,0.10965202294004187,0.001522340933505444,0.025844299930716248,0.2392228902248942,0.21198224852071007,0.31577787571617455,0.159541304831886,0.29,8.476503005247556
3,6.8724027482429735,0.31113985985077697,0.2013117824579304,0.003755021616909754,0.04956740886463085,0.2313627254509018,0.26867469879518074,0.3368580060422961,0.22344689378757515,0.42,0.30343032401325437,0.19312976726469752,0.003937433749724902,0.04874876115309786,0.23096192384769537,0.25879363381035175,0.32401205626255863,0.2154308617234469,0.42,8.633440301509085
4,6.847891787912683,0.3336464112609869,0.17546998898377414,0.002331406393415783,0.03966530436919562,0.2256513026052104,0.24964936886395514,0.4158878504672897,0.17835671342685372,0.49,0.3251767995166787,0.16803294170467495,0.0023288763552370474,0.03890122392466021,0.22556223558227567,0.23831566373002835,0.3617407071622847,0.17768871075484302,0.48,8.672490887269229
5,6.765049725938297,0.3282967736307518,0.19121855321944964,0.006943130885876935,0.053036056415030605,0.2379759519038076,0.25890410958904114,0.4090909090909091,0.18937875751503006,0.47000000000000003,0.3225003749619847,0.18813498778982782,0.007679871317434793,0.052537358006323476,0.23823201959474508,0.25635511865448124,0.41322109433027976,0.1858160765976397,0.47000000000000003,8.597185606946926
6,6.667462348195437,0.34543980298743915,0.19014572810662983,0.00623063907399577,0.04924761502721867,0.2246492985971944,0.26904598490048043,0.42701525054466233,0.1963927855711423,0.49,0.335733738722087,0.18343358905328502,0.006298159318091459,0.04803005222264696,0.22490536628813182,0.26000762485703394,0.412533268812001,0.18982409262970384,0.49,8.730638740057936
7,6.633344790100737,0.32755421174970295,0.16328019232174695,0.010412276558940281,0.04215267353656629,0.2127254509018036,0.24066390041493774,0.38839285714285715,0.1743486973947896,0.5,0.32291206917566007,0.1635879256207893,0.010024346371279766,0.04233302034686285,0.2128924515698063,0.24141390754032568,0.39345911949685536,0.17412602983745268,0.5,8.710466062855387
8,6.541499333947689,0.3261074503457992,0.162594057887766,0.0075329220418105846,0.04522022484755127,0.2045090180360721,0.23638778220451528,0.35039370078740156,0.17835671342685372,0.49,0.31882439419735376,0.16299224616152772,0.007489141240810475,0.04473986704396652,0.20378534847472723,0.23607721322387398,0.3516192994051553,0.17768871075484302,0.49,8.821968005988785
9,6.488980382427447,0.3361430665363556,0.18663692825346956,0.004274908761885192,0.043003479951337645,0.2095190380761523,0.27350427350427353,0.4729064039408867,0.19238476953907815,0.52,0.33581702083210196,0.18641853714450535,0.004648170889932603,0.04373849526753898,0.20970830549988867,0.2709759592421589,0.47541899441340785,0.1894900912936985,0.52,8.824850605102723
10,6.429982318715904,0.3243140502651777,0.1585487472753539,0.0020399765346777333,0.03872816655187768,0.1968937875751503,0.24172661870503598,0.42857142857142855,0.1683366733466934,0.53,0.320198635441269,0.15792705128728493,0.0022734708534575304,0.03904302313725375,0.19825205967490536,0.2370749883558454,0.39153846153846156,0.17000668002672012,0.51,8.744608262736715
