epoch,train_loss,AP@0.3,AP@0.5,F1,precision,recall,best_conf,all/AP@0.3,all/AP@0.5,all/F1,all/precision,all/recall,all/best_conf,val_loss
1,7.089326503525788,0.32566612223724156,0.15000918753438064,0.23850085178875638,0.33070866141732286,0.18650088809946713,0.54,0.3231869473883372,0.14455494736281577,0.23477272727272724,0.3258675078864353,0.18348134991119006,0.54,8.632601084124767
2,6.921133867872728,0.3567500613025977,0.19904866385657435,0.27657004830917875,0.4320754716981132,0.2033747779751332,0.52,0.34952859967922345,0.19420778404069117,0.26921770632854064,0.3712144864189822,0.21119005328596802,0.5,8.74529743956842
3,6.7839970657411115,0.3449229440897418,0.1959592405512906,0.28520499108734404,0.43087971274685816,0.21314387211367672,0.49,0.3454128931800324,0.1901026929010557,0.2803738317757009,0.4000658544616398,0.21580817051509768,0.48,8.76691319209856
4,6.684011397736058,0.3472055973560192,0.1987524261549894,0.29395138496325607,0.40435458786936235,0.23090586145648312,0.46,0.3441840883708464,0.19149399821626575,0.2820222171843119,0.38972431077694236,0.22095914742451153,0.46,8.71584601935866
5,6.621738810483538,0.3459763317368061,0.20478197033798926,0.2899628252788104,0.3606340819022457,0.2424511545293073,0.47000000000000003,0.3398197646787758,0.19578520455116988,0.2776125743415463,0.34521922873745375,0.23214920071047956,0.47000000000000003,8.697858209084872
