epoch,train_loss,AP@0.3,AP@0.5,F1,precision,recall,best_conf,all/AP@0.3,all/AP@0.5,all/F1,all/precision,all/recall,all/best_conf,val_loss,ema/AP@0.3,ema/AP@0.5,ema/F1,ema/precision,ema/recall,ema/best_conf,ema/all/AP@0.3,ema/all/AP@0.5,ema/all/F1,ema/all/precision,ema/all/recall,ema/all/best_conf,ema/val_loss,sel,sel_smoothed
1,3.220405665540057,0.37133567334902173,0.22285762040183413,0.312126155519304,0.40252454417952316,0.25488454706927177,0.42,0.3692283322172421,0.2205686382622441,0.31225621022377337,0.36989299610894943,0.27015985790408525,0.39,4.259135930250722,0.37214843186878666,0.22635698861481407,0.31342521694742215,0.368547418967587,0.27264653641207814,0.38,0.3695628057245624,0.22371586311142572,0.3118182727909537,0.3570937428374971,0.2767317939609236,0.37,4.249178411267328,0.316666355908322,0.316666355908322
2,3.2071770801125283,0.3649831261628428,0.2142696596721635,0.31518921721099014,0.37858032378580325,0.2699822380106572,0.38,0.361926274041895,0.21141371961284244,0.31241544385471953,0.3772304599145514,0.266607460035524,0.38,4.260395736559063,0.36968682511666995,0.21958692185704254,0.3128964059196618,0.38642297650130547,0.26287744227353466,0.4,0.3672591480851267,0.21929412051440786,0.3132530120481928,0.38674321503131526,0.26323268206039074,0.4,4.260529561245695,0.3132987702993801,0.31498256310385103
3,3.2036303937626704,0.3624602232121662,0.21087039760694007,0.3134564643799472,0.3862158647594278,0.26376554174067496,0.38,0.359101508839877,0.20648786722520254,0.31045406546990495,0.3828125,0.261101243339254,0.38,4.25718148718489,0.3652478674879972,0.21303642897464795,0.31286705819540844,0.392235609103079,0.2602131438721137,0.4,0.3619969270978149,0.2117861081410765,0.31225130890052355,0.38035714285714284,0.26483126110124333,0.39,4.262969236001901,0.3091082740754747,0.31302446676105894
4,3.192815857871521,0.35553746419688026,0.2098725141263448,0.3197424892703863,0.4037940379403794,0.26465364120781526,0.38,0.3525844513638696,0.20346877171396716,0.31529209621993126,0.39869636067354697,0.26074600355239785,0.38,4.259894640733164,0.3658595685600182,0.21354740729906613,0.31742627345844504,0.40054127198917455,0.26287744227353466,0.4,0.36356252739982164,0.21041083970789293,0.3148028442146089,0.40005476451259586,0.2595026642984014,0.4,4.26352510384634,0.310479261161418,0.3109621018454243
5,3.1946279040365515,0.3490715160726754,0.1991944243071963,0.30958482829318296,0.3660606060606061,0.2682060390763766,0.38,0.34534885662258663,0.19544884778593402,0.3098326359832636,0.37684478371501273,0.26305506216696267,0.39,4.275189978011111,0.3657993362334956,0.21333211863496654,0.31879543094496365,0.38375,0.27264653641207814,0.38,0.3634385824009252,0.20844160954643995,0.31376623376623375,0.37797246558197745,0.2682060390763766,0.38,4.263871859996877,0.3106583898962305,0.3100819750443744
6,3.189469603123322,0.3717163463713087,0.2174757505073565,0.3167898627243928,0.390625,0.2664298401420959,0.39,0.36657064185904903,0.2124549990427307,0.31287813310285223,0.39933811362382793,0.2571936056838366,0.4,4.2757472484669785,0.3643339423599944,0.2110730210251164,0.31573754316724223,0.3551609322974473,0.2841918294849023,0.35000000000000003,0.36144451787441084,0.20753803708279528,0.3135946622185154,0.3796062594649167,0.26714031971580815,0.38,4.270682400000011,0.30863638612098054,0.309924679059543
7,3.179592111530333,0.36869799729301755,0.2045652686590466,0.31235955056179776,0.42507645259938837,0.2468916518650089,0.43,0.36487746423331124,0.19997950165201914,0.31045027944743225,0.38203996885543734,0.26145648312611014,0.39,4.282090200600049,0.36605095772836876,0.20840619401986596,0.3153347732181425,0.4022038567493113,0.25932504440497334,0.4,0.3631252977757197,0.20431196860785747,0.31254663681910244,0.3908291122367369,0.26039076376554177,0.39,4.272896621244174,0.3086142917137727,0.3093030225769946
