epoch,train_loss,AP@0.3,AP@0.5,AP@0.75,AP@0.5:0.95,mAR,F1,precision,recall,best_conf,all/AP@0.3,all/AP@0.5,all/AP@0.75,all/AP@0.5:0.95,all/mAR,all/F1,all/precision,all/recall,all/best_conf,val_loss
1,7.1462321140394565,0.27108383521645657,0.13439533724669192,0.003220031546098474,0.033230578783458906,0.24067495559502664,0.24106602059357965,0.379047619047619,0.17673179396092362,0.22,0.26771224462990856,0.13256774411628486,0.003327678450966855,0.03295313352383812,0.24,0.23870811073336573,0.3772064466615503,0.17460035523978687,0.22,8.349749521082714
2,6.99676176666583,0.2960245985335849,0.16380344690013193,0.0036566982569012758,0.039592728818241094,0.24049733570159862,0.25839499146272055,0.35974643423137875,0.20159857904085257,0.26,0.29344242907137963,0.1614463442330256,0.003588658952030749,0.039306578674206206,0.23955595026642987,0.2553191489361702,0.35861182519280205,0.19822380106571935,0.26,8.446459835418375
3,6.904929852843962,0.2849713378046593,0.14321839653185112,0.0017690476884425304,0.03310172526941403,0.23641207815275309,0.2504347826086956,0.3606010016694491,0.19182948490230906,0.42,0.2816318770451803,0.14101297108168487,0.0017146677773431534,0.03276937628731736,0.23573712255772644,0.2482790806206977,0.3617817069024141,0.18898756660746002,0.42,8.622039617060768
4,6.883354989666325,0.3394480213346175,0.17833819854601698,0.005033448554988739,0.04474845891101836,0.2383658969804618,0.2620320855614973,0.3293010752688172,0.21758436944937834,0.46,0.338547982098011,0.1759958259674655,0.0048461760990231246,0.044258609535855496,0.2376909413854352,0.26085078816670265,0.33259911894273125,0.21456483126110124,0.46,8.609288911836398
5,6.8140618026282285,0.33255670144921906,0.1697644264463322,0.002786684462516288,0.041159728765063366,0.22948490230905866,0.2487623762376238,0.41020408163265304,0.17850799289520428,0.48,0.33215860341415837,0.16777192012601908,0.002781632979141726,0.04066386203979264,0.22902309058614567,0.2464747007939329,0.3702385190459238,0.1847246891651865,0.47000000000000003,8.584026295168997
6,6.7388396371446895,0.34166448386960296,0.18188329124631575,0.0031242119550605454,0.04415006327923003,0.2294849023090586,0.26543209876543206,0.4352226720647773,0.19094138543516873,0.49,0.3425218865595027,0.18006669128295508,0.003321921117987563,0.04395036035400806,0.2291296625222025,0.2629166150415066,0.434657927079066,0.18845470692717584,0.49,8.648262953038326
7,6.691435171588926,0.3466462924705766,0.19083179288323768,0.007456543227670589,0.0480232564907386,0.2240674955595027,0.27860696517412936,0.46473029045643155,0.1989342806394316,0.51,0.3437227514718852,0.1868514847531084,0.00679613781500607,0.047151499148224016,0.22362344582593252,0.27556889222305575,0.4653716216216216,0.19573712255772646,0.51,8.626125546585815
8,6.6153108593679,0.32078173774312835,0.1660524613041639,0.007922384512629346,0.04280070591681506,0.21936056838365897,0.26205191594561184,0.43089430894308944,0.1882770870337478,0.56,0.3209861344241423,0.16234464553834108,0.008031048738053279,0.04187904170588197,0.2189342806394316,0.2594433399602386,0.4317617866004963,0.18543516873889876,0.56,8.717440489977333
9,6.557995933042275,0.32064249932770506,0.1570147992185712,0.003596259157917536,0.03722487819750193,0.208259325044405,0.25092250922509224,0.408,0.1811722912966252,0.49,0.31849110437781264,0.1542412639427135,0.0032060806752807164,0.036629548176899764,0.2079396092362345,0.25011135857461025,0.3352238805970149,0.1994671403197158,0.46,8.739113018313692
10,6.503544103587582,0.33611478904895936,0.1885431355205332,0.0019832369909915768,0.04182442619644872,0.2060390763765542,0.26499670402109426,0.5140664961636828,0.17850799289520428,0.59,0.3340157156702329,0.18559922322530117,0.001840766319220143,0.041018649404761826,0.20495559502664298,0.2635208711433757,0.4132827324478178,0.19342806394316164,0.54,8.804136592160322
