epoch,train_loss,AP@0.3,AP@0.5,AP@0.75,AP@0.5:0.95,mAR,F1,precision,recall,best_conf,all/AP@0.3,all/AP@0.5,all/AP@0.75,all/AP@0.5:0.95,all/mAR,all/F1,all/precision,all/recall,all/best_conf,val_loss
1,7.284800926682188,0.283130073075867,0.13448377583209828,0.0005440746487096064,0.029674609631435783,0.20230460921843685,0.2356164383561644,0.2599758162031439,0.2154308617234469,0.21,0.2805210167989767,0.12915980139082683,0.0007106317540001874,0.02910884718239342,0.20260521042084165,0.23233489276383743,0.2557175337702287,0.21287018481407258,0.21,8.667112961082994
2,7.123851458892911,0.28510012913306904,0.13963485291027147,0.0009861926352241236,0.03152785534859826,0.20140280561122242,0.2462987886944818,0.375,0.18336673346693386,0.26,0.28046181296936373,0.136323221705731,0.0009571245099717993,0.030699019770984326,0.20131373858828766,0.24189451665919623,0.3676203451407811,0.18024938766421733,0.26,8.536726072460473
3,7.035829408625028,0.3044623173259828,0.17455432713671165,0.001969151349827733,0.04330794655437761,0.2223446893787575,0.2528581035642232,0.38445807770961143,0.18837675350701402,0.46,0.29085577027214626,0.1666745328640676,0.002133854455700978,0.04185630291745046,0.22341349365397462,0.24422166527429687,0.3259011519881085,0.1952794477844578,0.45,8.733558028876661
4,6.981841000039115,0.3121719170249222,0.19462326410209987,0.0016212965198432708,0.047325086938762514,0.21663326653306614,0.27285513361462727,0.45754716981132076,0.19438877755511022,0.51,0.3026566144948102,0.18754809561091607,0.0015499936366531748,0.04568196016690769,0.21599866399465598,0.2665928328455027,0.4605083356108226,0.1875974170563349,0.51,8.807125652481416
5,6.8742023556232095,0.3371574850332072,0.18704856575743345,0.005562777354688712,0.048335695011768695,0.23036072144288577,0.2592087312414734,0.405982905982906,0.1903807615230461,0.47000000000000003,0.32627708172321235,0.18308602786119108,0.005576868398450386,0.04739219282632435,0.23080605655755954,0.2531549338604227,0.39908916586768933,0.18537074148296592,0.47000000000000003,8.615304019025906
6,6.80848898085363,0.3292815377529057,0.14123767762644715,0.00247974389993642,0.03399152201033593,0.20771543086172345,0.22587268993839835,0.3563714902807775,0.1653306613226453,0.49,0.3175593274234514,0.13997470689020416,0.0022249449017931132,0.03415134951188113,0.20727009574704963,0.2211671006279675,0.35426889106967613,0.1607659763972389,0.49,8.795858471092576
7,6.7507181295069225,0.3234751113601619,0.1801047799093879,0.003666588474673929,0.04398855390838951,0.22024048096192383,0.25578034682080925,0.4585492227979275,0.17735470941883769,0.49,0.31842616256871636,0.17841174770463386,0.003848935052823811,0.04386251327257905,0.22058561567579602,0.2520423845344981,0.46081041112097015,0.173458027165442,0.49,8.687966831222564
8,6.670775444666814,0.33391090916559985,0.16123123370890086,0.004337627536734517,0.040901446123147375,0.21663326653306614,0.25250000000000006,0.33554817275747506,0.20240480961923848,0.48,0.3287144536424593,0.15843826562355173,0.004696175821131816,0.040558786197630294,0.21736806947227788,0.24573140985434525,0.32848891373206635,0.19628145179247383,0.48,8.705508203449135
9,6.648406993145021,0.3482816724042768,0.1794559135709086,0.003856737244564004,0.046307916425330185,0.2165330661322645,0.27266797129810827,0.39065420560747666,0.2094188376753507,0.5,0.3448872044215686,0.17564790144503192,0.004152292645946691,0.04550616092531985,0.21597639723892229,0.26401970728879876,0.3780082987551867,0.20285014473391227,0.5,8.781718427050329
10,6.5781095129653595,0.33833279654638065,0.19157078839722783,0.003049411487098966,0.04663767222960154,0.21292585170340678,0.2750642673521851,0.3835125448028674,0.21442885771543085,0.46,0.33701168078490923,0.1887396503996057,0.0033759001321194537,0.04668696733863424,0.21360498775328435,0.2732574679943101,0.3782985427333596,0.2138721888220886,0.46,8.62252789938856
11,6.52159091238112,0.32040123443351154,0.17604311757846075,0.0043419191289846525,0.045715231087245616,0.19809619238476955,0.26075446724023826,0.3840155945419103,0.19739478957915832,0.48,0.31597997027179076,0.17206590404847177,0.00474337529810486,0.04438806736770527,0.197417056334892,0.25528789659224443,0.37505394907207595,0.19349810732576264,0.48,8.700558106263797
12,6.46869010269236,0.31869120702339176,0.1807023530786398,0.002090788205132848,0.04377712526383756,0.18747494989979957,0.2734430923407301,0.47869674185463656,0.19138276553106212,0.54,0.31527004113112117,0.17930286217326266,0.0015972381653355432,0.043237444140266486,0.1873302159875306,0.27455792132804047,0.3903139749640878,0.21175684702738812,0.48,8.852988008028998
13,6.4479014281415505,0.3313458803870688,0.1857952922504861,0.0017527985166041892,0.04368693619519356,0.20440881763527052,0.26564885496183205,0.5576923076923077,0.1743486973947896,0.5700000000000001,0.3266466007583906,0.18623724240341785,0.0019104440224875475,0.043678066808281416,0.2045424181696726,0.265630620907979,0.3754321740898922,0.205522155421955,0.47000000000000003,8.808752356168025
14,6.40319637124776,0.30343418598395044,0.17042352919092324,0.003347055760432594,0.038201078944344866,0.20751503006012023,0.2652005174644243,0.3740875912408759,0.20541082164328658,0.46,0.2996616279285506,0.16352865210479195,0.0034438216128686618,0.03782688106103675,0.20830549988866626,0.2592725963269715,0.3671221700999388,0.20040080160320642,0.46,8.80379773332982
