epoch,train/total_loss,train/rpn_objectness_loss,train/rpn_box_loss,train/det_cls_loss,train/det_reg_loss,train/lr,val/mAP_50,val/mAP_75,val/mAP_50_95,val/mAR,val/F1,val/precision,val/recall
1,,,,,,0.005,0.0009089975836675691,2.253637881176125e-06,0.0001537582751720015,0.006323268206039077,0.028559602649006623,0.034209221616261776,0.024511545293072826
2,,,,,,0.005,0.01847110331682348,6.410734717798034e-05,0.0035223494975878213,0.09888099467140318,0.07700385019250963,0.0635470826112074,0.09769094138543517
3,,,,,,0.005,0.06049013215951833,0.0018081041622539774,0.01529703363305154,0.135044404973357,0.12475577103987263,0.10526315789473684,0.1531083481349911
4,,,,,,0.005,0.09354080301766475,0.001629964959507573,0.02062999423934509,0.1366429840142096,0.16414396232761522,0.22256004864700518,0.1300177619893428
5,,,,,,0.005,0.0886709305371381,0.0020445809346919695,0.022139931036337775,0.11921847246891651,0.17681543116490167,0.18904164981803478,0.1660746003552398
6,,,,,,0.005,0.09857164241644496,0.0006995079994713239,0.019376218429101033,0.12523978685612788,0.18655772784748567,0.20619221672758548,0.17033747779751332
7,,,,,,0.005,0.08365952237582464,0.0023194449651634742,0.02055700417201195,0.12163410301953821,0.18078638021888935,0.2104766399244927,0.15843694493783303
8,,,,,,0.005,0.10869476036539752,0.00376227179243808,0.025714360240331975,0.09662522202486677,0.21374652363925306,0.24245155475439387,0.1911190053285968
9,,,,,,0.005,0.11129053128736724,0.0022981273727417017,0.0241072149873144,0.11646536412078154,0.22297544888237447,0.2302307983352251,0.21616341030195382
10,,,,,,0.005,0.06462893588898105,0.0016098529450842276,0.014989937338508652,0.06987566607460036,0.18047308478535967,0.19965539521860864,0.16465364120781528
11,,,,,,0.005,0.0807738528858305,0.002315920669776387,0.019503208095583417,0.0882948490230906,0.20873644092641455,0.23202259396046057,0.18969804618117228
12,,,,,,0.005,0.07728199869531666,0.0011472045113663256,0.016966139545355127,0.07273534635879217,0.18595240389247517,0.20320067382606866,0.1714031971580817
13,,,,,,0.005,0.10939315317728827,0.0022579299626510094,0.026138846390843695,0.09483126110124333,0.22799836266884976,0.26895219700627715,0.19786856127886324
14,,,,,,0.005,0.10518184385623794,0.0016623006756188818,0.02295533860471674,0.08879218472468917,0.2276098117512835,0.24488543371522095,0.21261101243339253
15,,,,,,0.005,0.06906970847631815,0.0025759852578977386,0.017623683079608973,0.08209591474245116,0.1937027466743229,0.21000207511931937,0.17975133214920072
16,,,,,,0.005,0.07340896341361323,0.0025152024518198947,0.017625325410867983,0.06637655417406749,0.18715708189392397,0.21866096866096865,0.16358792184724688
