epoch,train_loss,AP@0.3,AP@0.5,AP@0.75,AP@0.5:0.95,mAR,F1,precision,recall,best_conf,all/AP@0.3,all/AP@0.5,all/AP@0.75,all/AP@0.5:0.95,all/mAR,all/F1,all/precision,all/recall,all/best_conf,val_loss
1,7.454521534226817,0.31650303670787805,0.14999871306095508,0.002571211934206926,0.035208967489609375,0.20870337477797518,0.25372311086596805,0.33478893740902477,0.20426287744227353,0.19,0.3131273368430003,0.14816417580405236,0.0028355794704182182,0.03514147117496576,0.20760213143872117,0.25085569173015343,0.33148526407936973,0.20177619893428064,0.19,8.377363341316237
2,7.29664686764251,0.32052914709298563,0.17508020874316102,0.0010769728571756027,0.03775826789208812,0.20266429840142092,0.2610208816705336,0.3762541806020067,0.19982238010657194,0.26,0.3145813096360696,0.1711676151876223,0.0009959524555836234,0.036835882373332775,0.20202486678507992,0.256046511627907,0.3707070707070707,0.1955595026642984,0.26,8.500259451925437
3,7.180303374560176,0.3131215843577875,0.1548305829801821,0.0017161349796447087,0.03458863021296429,0.2015097690941386,0.23679628554846197,0.3417085427135678,0.1811722912966252,0.3,0.30975137338264935,0.15261652892543268,0.0019489302913833309,0.034196676758803286,0.20195381882770871,0.2357176033441709,0.3403755868544601,0.1802841918294849,0.3,8.54517729286614
4,7.1143600957561794,0.30550132246161926,0.15606377708800884,0.0019599347678535776,0.035258558718789926,0.2254884547069272,0.257323377369328,0.3642276422764228,0.1989342806394316,0.41000000000000003,0.30512442493919806,0.1547124188510567,0.0019899238406088744,0.034751408011814686,0.22490230905861458,0.2563870676011757,0.35261194029850745,0.2014209591474245,0.4,8.717592512100246
5,7.104758430426728,0.3218127922771248,0.14228105070360572,0.0022962886863321405,0.03312015368623682,0.19449378330373002,0.2247065399664617,0.3031674208144796,0.17850799289520428,0.41000000000000003,0.3187271326557438,0.1402272789298757,0.0023387202097155876,0.03279570953746568,0.19541740674955593,0.22262239729881825,0.30384024577572966,0.17566607460035524,0.41000000000000003,8.606769466061364
6,7.057178893976388,0.32866581705963793,0.17331256231854258,0.003263249282738528,0.041075465929099705,0.22362344582593252,0.2556306306306307,0.34923076923076923,0.20159857904085257,0.42,0.3260727117935991,0.17036594184673837,0.0031973146966817064,0.04057902509072352,0.2225932504440497,0.2511115816218505,0.3107966457023061,0.21065719360568383,0.41000000000000003,8.587517914509476
7,7.0098416255329585,0.3320110149574568,0.191153842248967,0.005092322218565785,0.04584218167291781,0.22539964476021318,0.2777085927770859,0.46458333333333335,0.1980461811722913,0.49,0.3289321842884741,0.1893451537882243,0.0045473178137055426,0.044920334558112826,0.22390763765541744,0.2737661685294487,0.46720960137162454,0.1936056838365897,0.49,8.679119929962429
8,6.9262801553455065,0.3322370791645545,0.15159218572917277,0.0022134994109986464,0.03541821143064987,0.21465364120781527,0.24470018170805571,0.38476190476190475,0.17939609236234458,0.48,0.3294521373661153,0.1501716482736422,0.0020031337983438145,0.03500147484256048,0.21401420959147424,0.2423503596245276,0.3863194714341236,0.17655417406749557,0.48,8.673275582532053
9,6.893591482543221,0.3364819393892946,0.15292782705500288,0.0025543612951123076,0.03537919985864849,0.21687388987566608,0.23318938926588526,0.38181818181818183,0.16785079928952043,0.48,0.3339596512187582,0.14985080345742044,0.0025063235122891256,0.034451668196411024,0.21525754884547071,0.22920792079207922,0.37795918367346937,0.1644760213143872,0.48,8.683942314574816
10,6.8262208964313285,0.35278646620831744,0.19792143832267706,0.00477154890683585,0.0502291985561887,0.2294849023090586,0.2882781828379137,0.3911719939117199,0.22824156305506216,0.45,0.3484036588841488,0.19640366239504814,0.004634133038611217,0.049302821833030794,0.22811722912966254,0.28555468662719247,0.38482384823848237,0.2269982238010657,0.45,8.630236587558292
11,6.79710897556288,0.3476030113632739,0.1768912724119806,0.002210889993688021,0.04234682370574662,0.2108348134991119,0.25945317044793487,0.3760539629005059,0.1980461811722913,0.47000000000000003,0.3445563752948512,0.1729727716764961,0.002184166232375795,0.04154017348729471,0.21046181172291298,0.25321739130434784,0.36460767946577627,0.19396092362344583,0.47000000000000003,8.68769627989503
12,6.724779441243313,0.32703882753568836,0.19383610937164167,0.004589691161311429,0.050655648160494095,0.22344582593250445,0.29119233073696826,0.44751381215469616,0.21580817051509768,0.48,0.32487562275811055,0.18956042305141269,0.0042937690918942294,0.04894924919250078,0.22159857904085256,0.2836354961832061,0.43173565722585333,0.21119005328596802,0.48,8.742987860583073
13,6.722544043223393,0.3250475666759735,0.1649211039472512,0.004553775376116918,0.04324718634193559,0.19733570159857905,0.2604482132041187,0.4095238095238095,0.19094138543516873,0.47000000000000003,0.3239263426463887,0.16234750441138107,0.004554038160815769,0.042290947607457254,0.1964653641207815,0.2573330046832635,0.42028985507246375,0.18543516873889876,0.48,8.799440228917883
14,6.6730393665168695,0.3311292008617908,0.14212405864848027,0.0015224702647728815,0.0327354794649019,0.20142095914742453,0.24882075471698115,0.3701754385964912,0.18738898756660746,0.48,0.3301749499042056,0.140301381949521,0.0014186558113520598,0.03230400041535254,0.1999822380106572,0.2453872370431308,0.36262591177492187,0.18543516873889876,0.48,8.843626780365966
15,6.636145267936853,0.3254667566911465,0.15853047934877287,0.0028948084315230573,0.040171354408996954,0.19591474245115453,0.2661955241460542,0.3951048951048951,0.20071047957371227,0.47000000000000003,0.32301059808255894,0.1555332916248241,0.0028910226342268447,0.0393747788612557,0.19484902309058613,0.2620721987810596,0.3852515506547209,0.1985790408525755,0.47000000000000003,8.7938472822335
16,6.588625346364579,0.35389561801524955,0.1874814959280104,0.006450591311284248,0.04503773226789838,0.21740674955595027,0.2865707434052758,0.44095940959409596,0.21225577264653642,0.49,0.35060352211569756,0.18300883701330886,0.006187543004461594,0.04388710253702398,0.2160923623445826,0.28079436902966315,0.48022355975924336,0.19840142095914742,0.51,8.74358048278104
17,6.558456605866749,0.31545344702828365,0.14829982275860842,0.004330338602337114,0.03828670069416788,0.21101243339253997,0.24715056988602277,0.3807763401109057,0.18294849023090587,0.44,0.31099644666771814,0.14522126726708537,0.004003720350144441,0.03728238618114343,0.20927175843694493,0.24284516824332417,0.37265711135611906,0.18010657193605684,0.44,8.693760887979403
18,6.5425827517760275,0.3262659429531883,0.18731286119176865,0.002667992884631274,0.043479391584032454,0.21323268206039078,0.2731591448931116,0.4121863799283154,0.20426287744227353,0.42,0.3229941184936709,0.18224254307441967,0.0027038785240451396,0.0421458925765485,0.2115985790408526,0.2686708486211386,0.4026250443419652,0.20159857904085257,0.42,8.691202923417302
19,6.50452539316791,0.317063916904638,0.16315296161228007,0.003492529966975739,0.04080169580233638,0.2100355239786856,0.24984384759525297,0.42105263157894735,0.17761989342806395,0.49,0.3147574571613612,0.15995312322326874,0.0031760749644403523,0.03964555480381058,0.20914742451154528,0.2456751711263223,0.4103950103950104,0.1753108348134991,0.49,8.792307508140007
20,6.475266516621419,0.3217465710027138,0.15760836419360885,0.003835389117313892,0.038830273541354834,0.20532859680284193,0.2562814070351759,0.43776824034334766,0.1811722912966252,0.46,0.31983487248061065,0.15379567969863567,0.0036360285522805784,0.03774788388714272,0.20410301953818824,0.25231771485843146,0.4281462585034014,0.1788632326820604,0.46,8.72812288057317
21,6.458491448834768,0.3062142198145712,0.15083642535782124,0.003753377645215983,0.035052302413919115,0.20177619893428064,0.25375626043405675,0.33979135618479883,0.2024866785079929,0.42,0.30373935384081296,0.14815494912991561,0.0034468719774720736,0.03422559433309173,0.20087033747779753,0.2506382506382507,0.3341225214560521,0.2005328596802842,0.42,8.73620411007273
22,6.4142216344164575,0.31324615601226635,0.16854462298623848,0.005147983941499261,0.0421415814264555,0.21634103019538192,0.2668283808368708,0.42065009560229444,0.19538188277087035,0.46,0.31220951469684954,0.1668105125804878,0.004816852596150003,0.04142992689550544,0.21603907637655415,0.26405513239027933,0.41347974252177205,0.19396092362344583,0.46,8.79966293812645
