epoch,train_loss,AP@0.3,AP@0.5,AP@0.75,AP@0.5:0.95,mAR,F1,precision,recall,best_conf,all/AP@0.3,all/AP@0.5,all/AP@0.75,all/AP@0.5:0.95,all/mAR,all/F1,all/precision,all/recall,all/best_conf,val_loss
1,7.151737614438661,0.31791761296129856,0.16826992188780804,0.003769062662930679,0.03806275923091055,0.2325044404973357,0.25695216907675195,0.34375,0.20515097690941386,0.25,0.31497041534923564,0.16441408223763299,0.0036734588123610214,0.03731508360129154,0.23094138543516873,0.2552291944815309,0.3415723645026802,0.20373001776198935,0.25,8.527101968152062
2,7.020994029672215,0.3232176285303304,0.1750082762789249,0.0010253542666486086,0.03777951976551199,0.21758436944937837,0.2622563496751329,0.3915343915343915,0.19715808170515098,0.49,0.3186301885567671,0.17074972871951322,0.0011983301682735648,0.03711106219860239,0.21589698046181174,0.25543414404887793,0.377299548767789,0.1930728241563055,0.49,8.731028970139064
3,6.923064922830284,0.32877592575356174,0.1772847444460421,0.004444613658438163,0.044552956932966875,0.2373001776198934,0.2632135306553911,0.32506527415143605,0.2211367673179396,0.4,0.32523431783476814,0.17330520766071336,0.004361084816205174,0.04382554460796022,0.23603907637655416,0.25919291960804974,0.3185703185703186,0.21847246891651864,0.4,8.467109794515064
4,6.846797855647033,0.32996327346542365,0.17317960425574616,0.006403093251294767,0.0436961205129623,0.22717584369449378,0.2437538086532602,0.3883495145631068,0.17761989342806395,0.49,0.3267633822215419,0.16964000244592603,0.005780278687425418,0.042635621010339485,0.2260746003552398,0.24045293072824156,0.3206039076376554,0.19236234458259324,0.47000000000000003,8.715398193040919
5,6.7674479220374835,0.3268197173310168,0.17778374848244433,0.005700886375937039,0.04515536313972385,0.22371225577264653,0.26726057906458794,0.3582089552238806,0.21314387211367672,0.46,0.3246096945079929,0.17417994624359012,0.005488164651068887,0.04431915805553992,0.22289520426287743,0.26418786692759294,0.42419481539670073,0.19182948490230906,0.48,8.6350458697358
6,6.703712363569788,0.3344370546672899,0.18195077230599196,0.004431419838269822,0.04358479345662407,0.2267317939609236,0.26019184652278177,0.4003690036900369,0.19271758436944939,0.46,0.3317593997170258,0.17723660723875584,0.004255664494484901,0.04269680272753247,0.22571936056838365,0.25687192413875887,0.396149574231766,0.19005328596802842,0.46,8.557008773776609
7,6.649974309872545,0.3223469533626106,0.18397605265749833,0.002758513678714388,0.04425862243147683,0.20985790408525756,0.25836758661186143,0.38128249566724437,0.19538188277087035,0.48,0.31993388636502906,0.18135125844978084,0.002958008100516469,0.043842608684155106,0.2090586145648313,0.2570790741393491,0.3797292606733773,0.19431616341030195,0.48,8.69204272681824
8,6.592470744714078,0.36156131409849646,0.19811717347322588,0.0067935995570049985,0.052731423863953165,0.22166962699822382,0.2746268656716418,0.41894353369763204,0.20426287744227353,0.52,0.35933320402483465,0.19608961406842332,0.006477297478577961,0.05201190669881879,0.22115452930728244,0.2726184777405457,0.4178283198826119,0.20230905861456483,0.52,8.673853815766465
9,6.5398782526806905,0.32710121008331183,0.13618213137486604,0.0037024768499762887,0.034061850433264776,0.18712255772646536,0.22870211549456831,0.32102728731942215,0.17761989342806395,0.49,0.3262855581806117,0.13441730217786127,0.0035893343461319152,0.03363619861904586,0.1869804618117229,0.22812035236242995,0.320475731276117,0.17708703374777976,0.49,8.674408657724438
10,6.488749509961763,0.3231198555379509,0.1731766670157564,0.005740658462654545,0.045137631794834446,0.2007104795737123,0.2621457489878542,0.30470588235294116,0.23001776198934282,0.44,0.3213579097372661,0.17082741801712448,0.005839569408721759,0.0444114627583108,0.19953818827708705,0.25966403562031976,0.3017403574788335,0.22788632326820604,0.44,8.829247882904
