Run: stfs_nodistill_v1
Path: /home/dsa/stenosis/rfdetr_video/runs/stfs_nodistill_v1
Config: T=5  img_size=512  num_classes=1

==========================================================================================
Dataset: cadica_50plus_new
  videos=160  centre_frames=1614
==========================================================================================

Per-video metrics:
  video          frames   gt    AP30   AP50   AP75 AP5095      F1      P      R    thr   Frag  FragRt
  p23_v10            20   20   0.007  0.000  0.000  0.000   0.000  0.000  0.050  0.000      0  0.0000
  p23_v11             2    2   0.643  0.202  0.000  0.080   0.333  0.250  0.500  0.130      0  0.0000
  p23_v13             9    9   0.039  0.010  0.000  0.001   0.100  0.091  0.111  0.160      0  0.0000
  p23_v18            14   14   0.482  0.138  0.003  0.033   0.333  0.400  0.286  0.490      0  0.0000
  p23_v5              8    8   0.168  0.081  0.008  0.024   0.194  0.130  0.375  0.080      0  0.0000
  p24_v12             5   20   0.093  0.011  0.000  0.002   0.044  0.025  0.200  0.020      0  0.0000
  p24_v15            25   75   0.303  0.162  0.005  0.049   0.248  0.368  0.187  0.160      1  0.0133
  p24_v18            10   10   0.055  0.032  0.012  0.013   0.069  0.053  0.100  0.140      0  0.0000
  p24_v2             21   84   0.302  0.289  0.009  0.076   0.430  0.703  0.310  0.170      1  0.0119
  p24_v22             9    9   0.047  0.040  0.008  0.018   0.095  0.052  0.556  0.040      0  0.0000
  p24_v23            15   15   0.689  0.004  0.000  0.001   0.045  0.034  0.067  0.120      0  0.0000
  p24_v3             16   16   0.091  0.085  0.038  0.044   0.250  0.250  0.250  0.190      1  0.0625
  p24_v4             25  145   0.222  0.140  0.003  0.028   0.200  0.680  0.117  0.190      0  0.0000
  p24_v5              2   12   0.122  0.108  0.013  0.043   0.192  0.125  0.417  0.020      0  0.0000
  p25_v10             5    5   1.000  1.000  0.201  0.374   1.000  1.000  1.000  0.180      0  0.0000
  p25_v14             5    5   0.021  0.016  0.003  0.005   0.039  0.022  0.200  0.040      0  0.0000
